Id,Name,created_at,Νεα Δημοκρατια,Συριζα,Κιναλ,ΚΚΕ,prob
13622,elen***,2021,--,--,--,+,0.36
20489,BRav***,2022,---,--,-,--,0.16
18169,EDog***,2020,---,++,=,-,0.09
16385,Milt***,2022,--,--,++,--,0.67
16142,Anto***,2022,---,-,-,-,0.49
16084,GMan***,2022,--,-,--,--,0.27
5815,homl***,2013,---,++,-,-,0.38
16845,anti***,2022,--,---,--,--,0.53
16512,p884***,2022,--,--,--,--,0.31
16612,Vass***,2022,---,--,-,--,0.77
18562,mari***,2021,---,---,-,--,0.30
18564,MFar***,2021,---,---,--,--,0.07
707,Anal***,2009,--,--,-,--,0.22
18565,bill***,2021,---,---,--,--,0.13
11107,to_b***,2019,+,+,---,+,0.23
11323,e360***,2019,---,=,=,+++,0.23
13186,_VaL***,2021,--,--,=,-,0.80
6601,tsam***,2014,---,--,--,-,0.36
18185,Amal***,2009,++,---,-,--,0.05
6416,LTas***,2014,---,=,-,-,0.23
18187,xtsa***,2009,+,--,=,---,0.10
5388,nick***,2013,--,--,--,--,0.15
18191,geor***,2015,+,+++,=,+,0.23
3733,rock***,2012,--,--,--,++,0.11
3645,dper***,2012,-,---,---,--,0.04
18192,Glou***,2011,--,---,-,-,0.65
9054,Plan***,2017,++,--,--,++,0.17
1607,efis***,2010,---,--,--,--,0.05
10780,mari***,2019,++,=,=,+++,0.10
18196,ekei***,2012,---,---,-,--,0.16
10882,Theb***,2019,--,---,-,--,0.13
10822,delt***,2019,+,---,+,-,0.25
12551,okal***,2020,--,--,--,-,0.57
822,G******,2009,---,--,-,--,0.17
16085,ring***,2022,+++,--,-,--,0.35
14723,Kule***,2021,+,=,+,+,0.40
6936,AKar***,2015,-,---,---,-,0.17
2033,mari***,2011,+++,+,=,+,0.06
10734,vAVc***,2019,--,--,-,--,0.50
20229,elen***,2019,-,---,-,-,0.40
18204,spir***,2018,--,---,-,--,0.27
4456,Kiri***,2012,-,---,+,-,0.09
16995,_bil***,2022,--,--,-,-,0.83
18217,Eva_***,2011,---,--,-,--,0.06
18220,Vaso***,2011,--,-,-,-,0.06
5326,mair***,2013,---,--,-,--,0.46
18223,lial***,2015,-,-,++,---,0.13
513,panp***,2009,--,+++,-,--,0.06
52,gkar***,2008,--,---,=,-,0.00
20244,H9Rn***,2021,---,---,--,--,0.43
6756,TheW***,2015,-,--,+,-,0.23
6637,Kali***,2014,---,---,-,--,0.39
18228,bibi***,2012,+++,=,-,++,0.18
10883,Thod***,2019,---,--,--,-,0.20
18229,than***,2012,---,---,-,--,0.14
1241,V******,2010,++,--,-,=,0.19
18230,kost***,2015,=,=,+++,=,0.36
18231,Stef***,2014,-,---,--,--,0.03
6031,Moux***,2014,--,--,-,---,0.27
11902,taur***,2020,---,--,-,--,0.34
7978,thal***,2015,---,--,-,-,0.36
3051,west***,2011,+,--,--,-,0.36
6396,ligh***,2014,--,--,-,-,0.17
4796,Vang***,2012,-,---,-,-,0.12
18240,Magr***,2012,=,++,-,-,0.01
18241,Tass***,2012,+,-,=,---,0.08
2770,AntV***,2011,--,---,--,-,0.14
18244,svks***,2020,---,---,--,--,0.28
18243,gato***,2020,-,---,-,--,0.44
11476,Evan***,2020,+,-,=,=,0.23
18250,Xtna***,2011,+++,+,-,=,0.14
18252,DMor***,2021,=,=,---,---,0.32
6733,Anci***,2014,--,---,-,--,0.20
338,elen***,2009,+,--,-,-,0.17
4422,itsu***,2012,-,---,=,-,0.08
2668,kara***,2011,--,--,-,--,0.17
8706,exom***,2016,=,--,++,--,0.53
22269,john***,2018,+,+,--,-,0.27
995,vste***,2010,---,-,=,--,0.06
6061,Mene***,2014,---,--,-,--,0.09
2807,A******,2011,---,--,-,--,0.22
4359,alek***,2012,---,--,-,--,0.17
5429,Tou_***,2013,-,---,-,-,0.34
18269,vaso***,2013,---,=,=,=,0.16
18271,andr***,2014,+++,+,+,++,0.17
3894,Spyr***,2012,---,--,-,--,0.17
3633,Dimo***,2012,--,---,-,--,0.06
7284,fays***,2015,+++,---,-,-,0.32
1340,ekor***,2010,-,+,--,---,0.15
23531,gian***,2017,---,=,=,=,0.30
5007,PanB***,2013,--,--,-,--,0.32
3305,drun***,2011,---,--,-,--,0.40
12953,geor***,2020,---,--,-,--,0.46
18290,kika***,2009,+,=,+++,+,0.15
18292,Kill***,2009,-,---,=,-,0.14
3820,Kosm***,2012,---,-,=,--,0.12
18294,ptso***,2014,---,---,-,--,0.19
3422,xBas***,2011,+,=,-,-,0.06
18298,NBat***,2012,---,---,-,-,0.10
8124,tfon***,2016,--,--,--,--,0.10
18300,Anto***,2022,+,+++,=,=,0.72
8110,bily***,2015,---,--,--,-,0.15
7261,e_26***,2015,-,---,-,--,0.38
18304,BooB***,2010,-,+,-,-,0.10
18308,mpou***,2021,---,-,-,-,0.48
4036,ksin***,2012,---,--,-,--,0.19
16430,Some***,2022,---,-,-,-,0.11
16189,Pine***,2022,--,---,+++,--,0.58
10863,wzjF***,2019,-,---,---,--,0.22
17921,st3p***,2017,+++,--,=,-,0.51
18315,Agor***,2018,---,--,=,++,0.32
12437,Aris***,2020,=,-,-,-,0.34
18325,Lari***,2011,+,=,+++,+,0.07
3126,bxri***,2011,-,--,-,+++,0.31
9896,Kwst***,2018,---,--,-,-,0.77
10652,euxi***,2019,--,--,--,-,0.33
11576,KasK***,2020,---,--,--,--,0.19
17940,Nant***,2022,---,=,=,=,0.47
17924,snow***,2017,---,--,-,---,0.11
625,argy***,2009,+,--,-,-,0.19
24817,zant***,2022,+++,=,++,+,0.79
18333,Tsar***,2015,-,-,=,+++,0.21
1748,Kate***,2011,--,---,-,---,0.05
1432,cdav***,2010,--,---,-,-,0.01
